,id,casts,genres,title,vote_count,ratings
77,675353,"[222121, 1212864, 17605]","[{'name': '액션'}, {'name': 'SF'}, {'name': '코미디'}, {'name': '가족'}]",수퍼 소닉 2,0,0.0
78,633802,"[2097313, 2202678, 1626928]","[{'name': '로맨스'}, {'name': '공포'}, {'name': '스릴러'}]",다크 스펠,80,6.7
79,497698,"[1245, 1373737, 3293]","[{'name': '액션'}, {'name': '모험'}, {'name': 'SF'}]",블랙 위도우,7112,7.5
80,112355,"[25638, 10341, 37777]","[{'name': '공포'}, {'name': '드라마'}, {'name': '스릴러'}]",차일드 오브 더 나이트,19,5.7
81,406759,"[4587, 17178, 1010135]","[{'name': '액션'}, {'name': '모험'}, {'name': 'SF'}]",문폴,182,6.0
82,756403,"[517, 1936497, 3015225]","[{'name': '애니메이션'}, {'name': '판타지'}, {'name': '음악'}, {'name': '모험'}, {'name': '코미디'}, {'name': '가족'}]",리버댄스: 애니메이션 어드벤처,28,5.2
83,299536,"[3223, 74568, 103]","[{'name': '모험'}, {'name': '액션'}, {'name': 'SF'}]",어벤져스: 인피니티 워,24057,8.3
84,770254,"[52848, 89564, 8783]","[{'name': '애니메이션'}, {'name': '가족'}, {'name': '모험'}, {'name': '코미디'}]",우리 함께 아웃백으로!,341,7.7
85,399566,"[28846, 1356210, 15556]","[{'name': '액션'}, {'name': '판타지'}, {'name': 'SF'}]",고질라 VS. 콩,7670,7.8
86,379686,"[107379, 1896, 2998402]","[{'name': '가족'}, {'name': '애니메이션'}, {'name': '코미디'}, {'name': 'SF'}]",스페이스 잼: 새로운 시대,2943,7.1
87,1930,"[37625, 54693, 7026]","[{'name': '액션'}, {'name': '모험'}, {'name': '판타지'}]",어메이징 스파이더맨,14552,6.7
88,826749,"[57171, 62, 62747]","[{'name': '범죄'}, {'name': '액션'}, {'name': '스릴러'}]",포트리스,161,6.2
89,929477,"[2096276, 3391794, 3434839]","[{'name': '로맨스'}, {'name': '범죄'}]",하트 샷,14,5.7
90,19995,"[65731, 8691, 10205]","[{'name': '액션'}, {'name': '모험'}, {'name': '판타지'}, {'name': 'SF'}]",아바타,24998,7.5
91,703771,"[19654, 64154, 1103625]","[{'name': '애니메이션'}, {'name': '액션'}, {'name': '모험'}, {'name': 'SF'}]",데스스트록: 나이츠 앤 드래곤즈,323,6.9
